 ==> 0.0027642056052
Kit, Chunyu ==> 0.000224513689032
Cristea, Dan ==> 0.000196347312084
De Meulder, Fien ==> 0.000257608716164
Witten, Ian H. ==> 9.60480475741e-05
Lopez-Lopez, Aurelio ==> 3.07345205706e-05
Mangu, Lidia ==> 3.09428054416e-05
Kass, Robert ==> 4.34635078365e-05
Spiezio, Antonella ==> 2.22054387889e-05
Giampiccolo, Danilo ==> 3.87112198012e-05
Rajah, Sonya ==> 1.79798139203e-05
Shaked, Nava A. ==> 2.02031029933e-05
Iordanskaja, Lidija ==> 6.00815262951e-05
Zhang, Byoung-Tak ==> 0.000105561510005
He, Saike ==> 2.73827741419e-05
Kornai, András ==> 0.00014915392915
Rabiner, Lawrence R. ==> 8.98598822808e-05
Ubaldino, Marc ==> 2.84682157335e-05
Yip, Kenneth Man-Kam ==> 2.46874278687e-05
Lin, Winston ==> 8.31889289154e-05
Smith, Ira ==> 8.8340889174e-05
Yaginuma, Yoshitomo ==> 2.46099260846e-05
Zhang, Peng ==> 6.25894500857e-05
Mima, Hideki ==> 7.52913939654e-05
Federici, Stefano ==> 6.18394048607e-05
Danielsson, Pernilla ==> 1.90983337799e-05
Copeck, Terry ==> 2.71362482399e-05
Lunati, Jean-Michel ==> 2.81765977736e-05
Birke, Julia ==> 6.18562910076e-05
Twomey, David ==> 2.9422450392e-05
Knoll, Sonja ==> 2.3465457266e-05
Swerts, Marc ==> 0.000136606023594
Tsurumaru, Hiroaki ==> 5.93822223806e-05
DiMarco, Chrysanne ==> 5.89277908929e-05
Haenelt, Karin ==> 5.7448947941e-05
Imai, Takeshi ==> 7.9301329766e-05
Fabri, Ray ==> 2.08602389125e-05
Piskorski, Jakub ==> 0.000131162117698
Hansen, John P. ==> 3.91960932486e-05
Buch-Kromann, Matthias ==> 5.9143895151e-05
Gamage, Kumudu ==> 3.11654656901e-05
Gledson, Ann ==> 3.89119568381e-05
Guthrie, Louise ==> 0.000448436185887
Martin, Joel ==> 0.000197055445483
Haase, Kenneth ==> 3.0734653335e-05
Li, Bo ==> 2.6890307574e-05
Naseem, Tahira ==> 5.39590532369e-05
Bulyko, Ivan ==> 4.14455324815e-05
Lee, Jonghoon ==> 4.01428031418e-05
Rosner, Michael ==> 0.000153808131921
Tarau, Paul ==> 0.00023072815533
Cavedon, Lawrence ==> 6.51386116202e-05
Uchida, Hiroshi ==> 3.20249561398e-05
Schauer, Holger ==> 3.91880648879e-05
Douglas, Benjamin ==> 4.09791788564e-05
Brandyberry, David ==> 4.71665492616e-05
Miller, Bradford W. ==> 0.000131109152734
Temin, Aaron ==> 2.03567021881e-05
Cordier, D. ==> 2.9767434758e-05
Seki, Kazuhiro ==> 4.5961474372e-05
Wang, Yi-Chia ==> 2.81274565382e-05
Chan, Hayward H. ==> 2.8951402032e-05
Tonelli, Sara ==> 5.71509249856e-05
El-Shishiny, Hisham ==> 2.34868376568e-05
Farley, Benoit ==> 3.11361478709e-05
Levin, Esther ==> 6.19202736751e-05
Gemello, Roberto ==> 1.80086429413e-05
Yosiyuki, Kobayasi ==> 6.33967910749e-05
Vaughan, Marie M. ==> 5.2651706216e-05
Kazama, Jun'ichi ==> 0.000338368154837
Chen, Harr ==> 2.78465912926e-05
Lee, Yoong Keok ==> 0.0002543069443
Magnuson, Tina ==> 3.77108331449e-05
Pianta, Emanuele ==> 0.000135273716373
Gweon, Gahgene ==> 2.47330028697e-05
Weston, Jason ==> 3.65748133081e-05
Witte, Ren ==> 2.85695014056e-05
Cox, Stephen ==> 1.77878058526e-05
Gaudinat, Arnaud ==> 3.33150443181e-05
Chiocchetti, Elena ==> 3.60319002034e-05
Willners, Caroline ==> 3.46088479077e-05
Yamaoka, Takayuki ==> 3.20392898761e-05
Callmeier, Ulrich ==> 8.68277999905e-05
Oliveira, Paulo C F de ==> 3.3064292903e-05
Sugimoto, Masakatsu ==> 2.26194827738e-05
Wenliang, Chen ==> 4.8336498566e-05
Xue, Song ==> 3.58439078162e-05
Jaruskulchai, Chuleerat ==> 2.75819789601e-05
Kumano, Akira ==> 9.6653805356e-05
Chao, Chih-Yu ==> 1.99709644937e-05
Kerminen, Antti ==> 3.18396488648e-05
Krkoska, Michael ==> 2.20312465202e-05
Arguello, Jaime ==> 6.21348978842e-05
Cordova, Aaron ==> 4.74102680636e-05
Bandyopadhyay, Sivaji ==> 0.000165225494136
Chen, Chun ==> 2.24566267479e-05
Wolinski, Francis ==> 7.76627208823e-05
Rudnicky, Alexander I. ==> 0.000439463827223
Hayes, Bruce ==> 5.04332232785e-05
Sun, Guihua ==> 6.30142145291e-05
He, Tingting ==> 2.27422899039e-05
Ichii, Koji ==> 3.3339015192e-05
Svensson, Hans ==> 3.90120709795e-05
Decary, Michel ==> 2.36643192853e-05
Kaji, Yuichi ==> 2.15041863209e-05
Minsky, Marvin ==> 1.79375499407e-05
Silva, João ==> 1.98146498855e-05
Hairetakis, Nikolaos ==> 2.09017131797e-05
Spooren, Wilbert ==> 3.08638315176e-05
Hana, Jirka ==> 7.71564615862e-05
Drummey, Kevin W. ==> 7.32732905665e-05
Huang, Eng-Fong ==> 6.10261411947e-05
Huh, Hyun-Gue ==> 6.54395307425e-05
Kim, Joungbum ==> 4.09416972007e-05
Breidt, Elisabeth ==> 7.12336225109e-05
Bringert, Bjorn ==> 3.06479687888e-05
Daum, Michael ==> 7.24923275632e-05
Aldag, Bjorn ==> 3.03533417842e-05
Damljanovic, Danica ==> 2.79385359908e-05
Jahr, Michael ==> 0.000120278547221
Hurault-Plantet, Martine ==> 3.25296637216e-05
Aranzabe, Maxux J. ==> 4.93340417078e-05
Mahasarakham, Puwarat Pavaputanont Na ==> 1.80816003594e-05
Park, Kyung-Mi ==> 8.61055314632e-05
Graft, David ==> 2.41833677632e-05
Oim, Haldur ==> 4.87107059367e-05
Hahn, Sangyun ==> 3.26293954953e-05
Bengtson, Eric ==> 3.98950629033e-05
Michaud, Lisa N. ==> 4.71998852605e-05
Buttery, Paula ==> 3.84851531419e-05
Deyne, Simon De ==> 2.48492282368e-05
Regelson, Moira ==> 2.39160866615e-05
DeRose, Steven J. ==> 0.000201227780286
Baroni, Paola ==> 2.11474169219e-05
Bisson, Gilles ==> 3.44586459922e-05
Li, Guofu ==> 3.88636183492e-05
Martinez Hinarejos, Carlos D. ==> 4.37090643824e-05
Wong, Hongsing ==> 0.000108121459991
Favre, Benoit ==> 5.10675539331e-05
Bolioli, Andrea ==> 4.38944941042e-05
Sudre, Karen ==> 1.7915096446e-05
Wagstaff, Kiri ==> 0.000165332569982
Pado, Sebastian ==> 0.000305977693502
Kweon, Cheoljung ==> 9.14434102121e-05
Kaufmann, Tobias ==> 2.49724750692e-05
Carenini, Giuseppe ==> 0.000323862072285
Li, Hongqiao ==> 0.00012427307686
Amoia, Marilisa ==> 6.30976214367e-05
Van Vark, R. J. ==> 1.91399380842e-05
Hung, K. Y. ==> 2.67183383676e-05
Park, HyukRo ==> 3.24275882609e-05
Ding, Zhuoye ==> 3.19576741942e-05
De Boni, Marco ==> 6.63604780345e-05
Kopotev, Mikhail ==> 2.73794167308e-05
Farber, Benjamin ==> 2.94635886682e-05
Ures, Lubos ==> 7.9872830745e-05
Zourari, Maria ==> 1.92920817212e-05
Bretan, Ivan ==> 0.000114230119195
Morawietz, Frank ==> 3.79564000577e-05
Mazzei, Alessandro ==> 0.000112915332835
Lin, Wen-Cheng ==> 3.14014196648e-05
Xu, Mingwei ==> 1.99834147618e-05
Jonsson, Anna ==> 2.81177217349e-05
Rao, Delip ==> 1.90037130484e-05
Popov, Borislav ==> 3.01954233567e-05
Taylor, Paul ==> 0.000188895689419
Sumida, Asuka ==> 5.11382108776e-05
Felger, Niko ==> 1.89829547661e-05
Rottmann, Kay ==> 8.83391531752e-05
Ringger, Eric K. ==> 0.000348858240769
Choi, Misook ==> 0.000143266440462
Huang, Degen ==> 5.78421101e-05
Katz, Boris ==> 0.000162819368482
Suzuki, Jun ==> 0.000379501356503
Gerstl, Peter ==> 2.43566688969e-05
Bratus, Sergey ==> 4.56961067449e-05
Costa Florencio, Christophe ==> 9.11583503419e-05
Hof, Alexander ==> 2.23542199712e-05
Poel, Mannes ==> 1.95773657889e-05
Laporte, Eric ==> 7.38241150217e-05
Purwarianti, Ayu ==> 2.37012476077e-05
Watkinson, Stephen ==> 6.12986747206e-05
Li, Yaoyong ==> 5.3726527178e-05
Jing, Hongyan ==> 0.00105236847673
Miller, L. G. ==> 5.63842026316e-05
Lally, Adam ==> 2.07733545838e-05
Friberg, Karin ==> 1.91770987352e-05
Chan, Terence Y. W. ==> 2.79783665632e-05
Sukvari, Thana ==> 2.39527411803e-05
Tsovaltzi, Dimitra ==> 2.538409914e-05
Maruyama, Ichiro ==> 3.50092730543e-05
Waltz, David L. ==> 0.000100249422208
Mayor, A. ==> 1.84904847112e-05
Maamouri, Mohamed ==> 7.82196499978e-05
Okabe, Masayuki ==> 2.62754544236e-05
Montoyo, Andres ==> 0.000103765093149
Stabler Jr., Edward P. ==> 4.12003913026e-05
Oostdijk, Nelleke ==> 2.65651742087e-05
Singleton, Matt ==> 2.18198454348e-05
Silverman, Kim E. A. ==> 2.67438026375e-05
Stumberger, Douglas E. ==> 6.99349548198e-05
Claveau, Vincent ==> 7.43102762165e-05
Cotto, D. ==> 7.23757811318e-05
Badler, Norman ==> 2.90665421929e-05
Miyazaki, Noboru ==> 8.80143138803e-05
Liao, Xiantao ==> 3.03046298637e-05
Gaston, Jeremy ==> 3.67287607699e-05
Biewald, Luke ==> 6.68450139532e-05
Nishizawa, Shinichiro ==> 2.7101556119e-05
Barthelemy, Francois ==> 7.19486508281e-05
Kim, Jae-Ho ==> 6.84359904877e-05
Croft, William ==> 6.12849972941e-05
Gupta, Piklu ==> 3.70581869406e-05
Dorr, Bonnie Jean ==> 0.00106562274614
Al-Fares, Waleed ==> 5.15025750067e-05
Masaki, Noguchi ==> 2.46703045974e-05
Netter, Klaus ==> 0.000280332772474
Wintner, Shuly ==> 0.000186795001408
Dahlqvist, Bengt ==> 2.24082682496e-05
Stein, Gees C. ==> 4.26341419709e-05
Horvitz, Eric ==> 7.03797008665e-05
Lynam, T. R. ==> 2.52783755633e-05
Huang, Jin-Xia ==> 0.00014054263889
Goweder, Abduelbaset ==> 2.25845832333e-05
Copestake, Ann ==> 0.000619511252959
Kawai, Atsuo ==> 0.000143543681378
Hasegawa, Yuji ==> 4.67563633942e-05
Garigliano, Roberto ==> 7.39734836806e-05
Liu, Key-Long ==> 6.8295802001e-05
Chow, Ka-Po ==> 1.95782552105e-05
Morimoto, Yasutsugu ==> 0.000169140349835
Kalman, Laszlo ==> 2.71577056961e-05
Weerasinghe, Ruvan ==> 3.11654656901e-05
Hung, Hsieh-Chuan ==> 1.96995448091e-05
Sadat, Fatiha ==> 0.000234625220984
Wightman, Colin ==> 0.000104444027863
Manning, Christopher D. ==> 0.00285611509472
Hiatt, Laura ==> 5.88793126901e-05
Goldlust, Eric ==> 9.53474939938e-05
Hearst, Marti A. ==> 0.0021161326366
He, Yulan ==> 4.33218208766e-05
Yamaji, Takahiro ==> 3.51150353428e-05
Å tepÃ¡nek, Jan ==> 3.83266761054e-05
Talbot, David ==> 0.000127084284846
Kuhn, Michael ==> 2.96865511971e-05
