 ==> 0.00201519580503
Kit, Chunyu ==> 0.000330763091505
M&#252;ller, Christof ==> 2.47862995803e-05
Solway, Ben ==> 1.78534508581e-05
Merlo, Paola ==> 0.000777600709172
Ross, Kenneth M. ==> 5.90297539462e-05
Langeweg, Simone ==> 1.60323448737e-05
Joyce, Terry ==> 1.82197570242e-05
Katsumaru, Masaki ==> 3.6178368153e-05
Rooth, Mats ==> 0.00050818510802
Vercoe, Barry ==> 1.98675944155e-05
Vu, Thuy ==> 6.17774617817e-05
Polanyi, Livia ==> 0.000240042917481
Wedekind, Jurgen ==> 0.000241281940502
Sharman, R. A. ==> 5.34215871764e-05
Ravichandran, Deepak ==> 0.00057657056516
Myers, Karen ==> 7.80374690021e-05
Gillam, Lee ==> 2.53551829666e-05
Saravanan, K. ==> 4.17470789585e-05
Yu, Shi-Wen ==> 2.87287485699e-05
Davy, Ian P. ==> 2.05639719922e-05
Cicekli, Ilyas ==> 3.12739251686e-05
Blanc, Olivier ==> 2.08164771263e-05
Meyer-Viol, Wilfried ==> 2.47846863852e-05
Buchberger, Ernst ==> 5.72718521947e-05
Gomez-Hidalgo, Jose Maria ==> 2.32449124341e-05
Berger, Adam L. ==> 0.00113682416083
Kato, K. ==> 3.21096491293e-05
Greiff, Warren R. ==> 2.44759134475e-05
Kupin, Joseph ==> 2.32071623264e-05
Hoeppner, Wolfgang ==> 1.71917919352e-05
Wu, Shih-Hung ==> 3.56144981037e-05
Tepper, Michael ==> 2.46933441653e-05
Wu, Chien-Cheng ==> 2.33308821389e-05
Bottcher, Martin ==> 2.070095739e-05
Levy, Leon S. ==> 1.69164061508e-05
Guillotin, T. ==> 3.16941181145e-05
Harabagiu, Sanda M. ==> 0.00128305645616
Gerv&#225;s, Pablo ==> 3.17040599724e-05
Gaiffe, Bertrand ==> 3.1117399213e-05
Last, Mark ==> 2.41924828133e-05
Lua, KimTeng ==> 3.95004472478e-05
Shoshani, Arie ==> 2.10087308423e-05
Stolbach, Sara ==> 4.67904678679e-05
Hussmann, Michael J. ==> 2.22071073222e-05
Montes-Y-Gomez, Manuel ==> 2.67474958238e-05
Korkmaz, Emin Erkan ==> 3.21721841192e-05
Lavelli, Alberto ==> 0.000264875939486
Zhu, Wei-Zhong ==> 2.7749004382e-05
De Marneffe, Marie-Catherine ==> 8.72348687217e-05
Pollard, Elaine ==> 2.59212928987e-05
Ohta, Tomoko ==> 0.000254162695909
Martinez, Raquel ==> 0.00014087140166
Miwa, Makoto ==> 3.43353932438e-05
Mairesse, François ==> 9.08752759503e-05
Glover, Bonnie ==> 0.000103126193059
Herzog, Martha ==> 2.23302743779e-05
Menn, Lise ==> 3.64152251089e-05
Hemphill, Charles T. ==> 0.000171237313484
Tomabechi, Hideto ==> 7.76156489984e-05
May, Jonathan ==> 0.000112676333439
Parvaz, Dan ==> 4.88476402874e-05
Han, Kyoung-Soo ==> 2.98745007376e-05
Ulmann, Martin S. ==> 1.88552662669e-05
Romano, Lorenza ==> 0.000174062210322
Araki, Tetsuo ==> 4.25619363316e-05
Huang, Xuanjing ==> 4.74042060582e-05
Chang, Pi-Chuan ==> 7.5131562212e-05
Garbuio, Lorenzo ==> 2.83104729761e-05
Jean-Marie, Francois ==> 3.66805607356e-05
Borissova, Elena ==> 1.76570964847e-05
Esteban, Jose ==> 2.31300602308e-05
Tomita, Masaru ==> 0.000293219206655
Hempelmann, Christian F. ==> 6.11716845467e-05
Kasahara, Kaname ==> 4.57343983851e-05
Muoz, R. ==> 4.94473235662e-05
Chan, Shing-Kit ==> 7.81613368083e-05
Yuan, Wei ==> 4.591727959e-05
McTear, Michael F. ==> 2.24296699323e-05
Collins, Michael John ==> 0.00363061795544
Maier, David ==> 2.62500601647e-05
Portet, Francois ==> 2.98668294547e-05
Park, Jungyeul ==> 2.04106524463e-05
Zhang, Yibo ==> 1.73184528186e-05
Zhao, Ying ==> 2.85231586855e-05
Kim, Seokhwan ==> 3.81119782914e-05
Cannesson, Emmanuelle ==> 1.84654090189e-05
Morton, Thomas S. ==> 0.00016027327576
Luquet, Pierre-Sylvain ==> 4.85517606469e-05
Dauphin, Eva ==> 9.97508867129e-05
Huang, Bryant ==> 5.90158155088e-05
Roukos, Salim ==> 0.00228793243011
Liu, Yixuan ==> 2.30642594466e-05
Yoshimura, W. ==> 3.21096491293e-05
Cohen, Michael ==> 4.13172810673e-05
Boda, Peter Pal ==> 1.59030099464e-05
Swanson, Reid ==> 8.23727219803e-05
Douthat, A. ==> 3.04800727232e-05
Manganaro, Linda ==> 3.72796766835e-05
Ng, Hwee Tou ==> 0.00211182314543
Ahlswede, Thomas E. ==> 0.000185742844665
Sehitoglu, Onur T. ==> 1.6167550754e-05
Kawazoe, Ai ==> 3.49163695872e-05
Pr&#233;a, Pascal ==> 3.14683933078e-05
Murphy, Kevin ==> 3.97672126993e-05
Ibekwe-SanJuan, Fidelia ==> 5.71741678489e-05
Kermes, Hannah ==> 3.54319442934e-05
Rattanamanee, Patthrawan ==> 3.94400538088e-05
Zhang, Guoqing ==> 2.56537258573e-05
Csirik, János ==> 0.000134649557365
Pan, Yue ==> 4.0375214264e-05
Mather, Laura A. ==> 6.84008534711e-05
Mexia, Joao ==> 2.97886531389e-05
Martinez-Barco, Patricio ==> 0.000123984767987
Wei, Yu-Chuan ==> 3.69216107876e-05
Alam, Hassan ==> 2.27277370645e-05
Kate, Rohit ==> 2.53626103092e-05
Kundu, Amlan ==> 2.44759134475e-05
Wang, Xuanhui ==> 1.80134457258e-05
Soon, Wee Meng ==> 0.000267917139108
Bloom, Jonathan ==> 2.34882776684e-05
de Pablo-Sanchez, Cesar ==> 2.56101471455e-05
Soudi, Abdelhadi ==> 4.1050284795e-05
Carvey, Hannah ==> 7.73239701559e-05
Knopp, Johannes ==> 4.66893241358e-05
Biber, Douglas ==> 9.00281231591e-05
Ule, Tylman ==> 5.62691238401e-05
Chang, Jing-Shin ==> 0.000225425273642
Moulin, Bernard ==> 2.00437891428e-05
Garcia, Ernest V. ==> 1.67015028641e-05
Pa&#351;ca, Marius ==> 6.64037714417e-05
Penkale, Sergio ==> 6.29318010426e-05
Ciravegna, Fabio ==> 0.000109678287725
Bosch, Sonja ==> 3.70122644022e-05
Sawamura, Eiji ==> 1.7390594589e-05
Désilets, Alain ==> 2.01785372968e-05
Wang, Haifeng ==> 0.000515079204381
Gopalan, Banu ==> 2.14238705829e-05
Henderson, James ==> 3.74462259843e-05
Watanabe, Yotaro ==> 9.36187257838e-05
Glachin, Egidio P. ==> 6.19868304126e-05
Slator, Brian M. ==> 0.00010939703352
Tang, Buzhou ==> 1.84960748652e-05
Tanimoto, Steven L. ==> 2.17511210199e-05
Tomasic, Anthony ==> 2.70239981948e-05
Baldwin, Breck ==> 0.000329894819844
Max, Aurélien ==> 0.000160547243205
Oflazer, Kemal ==> 0.000820605862934
Skadina, Inguna ==> 2.22921528739e-05
Pinchak, Christopher ==> 5.87042903674e-05
George, Bryan ==> 1.58923471622e-05
Park, Hunil ==> 2.5190008526e-05
Inagaki, Yasuyoshi ==> 0.000129245716859
Kim, Jee-Hyub ==> 2.58861619994e-05
Roy, Nicholas ==> 4.09477652974e-05
Winiwarter, Werner ==> 1.59654930037e-05
Ward, Nigel ==> 3.19086170442e-05
Sluis, Ielka van der ==> 1.60229709489e-05
Mitchell, Jeff ==> 5.48123492388e-05
Gentile, Anna Lisa ==> 3.71585975034e-05
Buckland, Michael ==> 1.73713700006e-05
Relano Gil, Jose ==> 1.74029937945e-05
Nguyen, Patrick ==> 0.000134112107637
Wang, Guangwei ==> 1.89319486285e-05
Sim, Chul-Min ==> 3.81970346489e-05
Takagi, Shinichiro ==> 4.13930059102e-05
Hartono, Rachmat ==> 2.27277370645e-05
Bergsma, Shane ==> 0.00031244059368
Cardinal, Patrick ==> 2.00264509947e-05
Gabay, David ==> 7.36556414891e-05
Macklovitch, Elliott ==> 7.8526887971e-05
Ferro, Lisa ==> 0.000114691366768
Kameyama, Megumi ==> 0.000438336823257
Ge, Niyu ==> 0.000225561098801
Quixal, Martí ==> 2.14557711065e-05
Smith, Jason ==> 0.00010196209356
Kim, Seongyong ==> 2.34927872852e-05
Zhang, Dakun ==> 3.9810861277e-05
Yusuf, Hammam R. ==> 2.78284354977e-05
Klingenstein, Sara ==> 5.19508880174e-05
Su, Jian ==> 0.00114143923324
King, Paul John ==> 3.29394657231e-05
Bhattacharyya, Pushpak ==> 0.000140803642829
Clark, Stephen ==> 0.00139841145354
Dayang, Shen ==> 4.11776756759e-05
Monte, Enric ==> 3.43771929979e-05
Scha, Remko ==> 4.50882111626e-05
Sun, Ye ==> 5.2482024496e-05
Asher, Nicholas ==> 0.000160228167631
Beale, Stephen ==> 0.000233550406204
Castano, Jose M. ==> 0.000106068044121
Liang, Lin ==> 2.71751667373e-05
Hu, Rile ==> 3.1835219872e-05
Lee, Chi-Hoon ==> 4.03197757985e-05
Pradhan, S. Sameer ==> 1.60229709489e-05
Busby, George ==> 6.18243799435e-05
Burstein, Jill ==> 0.00022739170902
Taura, Kenjiro ==> 2.61830833983e-05
Tom, Janet ==> 1.84199736222e-05
Winkel, Adam ==> 2.93417359536e-05
Kaplan, S. Jerrold ==> 7.52182382899e-05
Busemann, Stephan ==> 0.000243593848771
Ichikawa, A. ==> 3.21096491293e-05
Hahn, Stefan ==> 2.30650101638e-05
Mann, Gideon S. ==> 0.000497272686551
Musgrave, Simon ==> 2.27172922149e-05
Samy, Doaa ==> 3.97724549996e-05
Israel, David J. ==> 0.00017347459458
Davis, Jenny ==> 1.95674879923e-05
Johnson, Christopher ==> 4.49764508625e-05
Chen, Enhong ==> 3.81622458769e-05
Wright Hastie, Helen ==> 4.90166347354e-05
Izagirre, Eli ==> 2.24075295879e-05
Brandow, Ronald ==> 6.23590081361e-05
Cimiano, Philipp ==> 8.69511320543e-05
Weimer, Markus ==> 4.28747289656e-05
Leidner, Jochen L. ==> 6.6169426421e-05
Hartmann, Knut ==> 1.63932245157e-05
Bonneau-Maynard, Hélène ==> 8.18634054604e-05
Psutka, J. ==> 2.33360258427e-05
Yuura, Katsuhiko ==> 5.21049360189e-05
Kukich, Karen ==> 0.000265321843981
Yamasaki, Noriyuki ==> 2.54237036663e-05
Ritz, Julia ==> 2.7527516369e-05
O'Donnell, Michael ==> 0.000203487224606
Ibrahim, Ali ==> 6.94142133772e-05
Agarwal, Abhaya ==> 0.00014776536023
Abouzakhar, Nasser ==> 2.4874217333e-05
Sanchez, Antonio Vaquero ==> 2.16510051179e-05
Sehgal, Aditya Kumar ==> 1.61905935749e-05
Yuen, Denis ==> 4.93081943701e-05
Haque, Rejwanul ==> 1.83085610084e-05
Deksne, Daiga ==> 2.22921528739e-05
Master, Demitrios ==> 1.66487523003e-05
Nahnsen, Thade ==> 4.18373881157e-05
Elhadad, Noemie ==> 0.0001408352753
Kaisser, Michael ==> 6.65850456684e-05
Ylilammi, Matti ==> 7.62831661519e-05
Cappé, Olivier ==> 2.14287549419e-05
Ezeiza, N. ==> 7.40961031279e-05
Feng, Junlan ==> 3.46511650922e-05
Engel, Donald ==> 3.2459968359e-05
Alonso Alemany, Laura ==> 5.49460899669e-05
Xia, Xinsong ==> 8.55613278354e-05
Strzalkowski, Tomek ==> 0.000715307753381
Winters, Scott ==> 0.000160790278536
Binnick, Robert I. ==> 0.000100260677762
Suh, Sungki ==> 2.08758441004e-05
IJdens, Jan ==> 3.60554075961e-05
Light, Marc ==> 0.000246880645107
Steedman, Mark ==> 0.000859740784572
Tsai, Dylan B. S. ==> 5.18091808575e-05
Yu, Jin ==> 6.14960355017e-05
Kerre, Etienne ==> 2.53523483213e-05
Freeman, Andrew ==> 3.40501098079e-05
Raab, Jan ==> 4.0988843143e-05
Fisher, Seeger ==> 8.33806832354e-05
Sawai, Susumu ==> 1.99025175331e-05
Marciniak, Tomasz ==> 6.65669443356e-05
Langkilde, Irene ==> 0.000445402567522
Pentheroudakis, Joseph ==> 1.99108823471e-05
Cartwright, Timothy A. ==> 1.69127144152e-05
Bieler, Heike ==> 2.16307690847e-05
Eastmond, John F. G. ==> 2.13627390681e-05
Kaalep, Heiki Jaan ==> 5.63534732889e-05
Elson, David K. ==> 2.69983181665e-05
Wennerberg, Pinar ==> 3.8083435996e-05
Gillick, Dan ==> 7.47296125969e-05
Schuler, William ==> 0.000180542349957
Tsuruoka, Akio ==> 6.95742833726e-05
Gallo, Carlos Gómez ==> 1.87865612499e-05
Zeiler, Shawn ==> 5.2482024496e-05
Mariño, José B. ==> 2.73815952917e-05
Sarma, Vaijayanthi ==> 1.80818702803e-05
Myllari, Aleksandr ==> 2.06164462582e-05
El-Kahlout, Ilknur Durgar ==> 2.0950687017e-05
Dunne, Simon ==> 2.39790745779e-05
Manandhar, Suresh ==> 0.000314107554077
Rabiega-Wisniewska, Joanna ==> 3.85360711154e-05
Santaholma, Marianne ==> 0.000207177456571
Katz, Karen ==> 0.000302072180428
Gruenstein, Alexander ==> 0.000119706176334
Snyder, Benjamin ==> 0.000332343105437
Jauhiainen, Krista ==> 2.83246757993e-05
Okamoto, Jun ==> 1.7484758082e-05
Silva, Roberto ==> 4.82386560335e-05
Dahlback, Nils ==> 8.72005446861e-05
Cui, Hang ==> 3.92925457896e-05
Kirsten, Mathias ==> 2.96878977548e-05
Mitra, Pabitra ==> 8.30535771592e-05
Shieber, Stuart M. ==> 0.0012991452406
Lua, Kim-Teng ==> 3.94036989989e-05
Dunne, Cody ==> 3.5336357128e-05
Kohl, Dieter ==> 4.01065206113e-05
Albrecht, Joshua ==> 0.000133873550939
Bestougeff, Helene ==> 1.74645982721e-05
Benedict, Richard ==> 4.07875469911e-05
Shrestha, Lokesh ==> 5.80042159514e-05
Kveton, Pavel ==> 0.000170746236568
Wolska, Magdalena ==> 7.20946187788e-05
Yu, Bin ==> 3.39307048088e-05
Pinchuk, Rani ==> 1.70774870643e-05
Kato, Susumu ==> 2.33483811498e-05
Reddy, Manohar ==> 3.41128424938e-05
Gomez-Rodriguez, Carlos ==> 2.71985340054e-05
Canisius, Sander ==> 0.000136179150987
Ibushi, Katsutoshi ==> 7.38804554407e-05
Hardy, Hilda ==> 5.59953610538e-05
Oh, Jong-Hoon ==> 0.000182050436671
Kambayashi, Yahiko ==> 1.59654930037e-05
Semecky, Jiri ==> 4.85252282065e-05
Wang, Yang ==> 2.04909981754e-05
Xu, Wei ==> 0.000141855559183
De Rossi, Gianluca ==> 3.18260826803e-05
Zhao, Jun ==> 0.00027909445369
Liu, Juan ==> 2.3562781965e-05
Ooyama, Yoshifumi ==> 5.34739401649e-05
Gillon, Brendan S. ==> 2.24353373398e-05
Takeuchi, Masahito ==> 2.1616728647e-05
Vega, Jose ==> 3.06136125022e-05
Laws, Florian ==> 8.07479189979e-05
Simonova, O. P. ==> 0.000100260677762
Ma, Wei Yun ==> 4.67904678679e-05
Coheur, Luisa ==> 3.92354633505e-05
Liden, Per ==> 5.57265641743e-05
Consoli, Carlo ==> 3.12339259591e-05
Varga, Istv&#225;n ==> 3.48450478741e-05
Chae, Jieun ==> 6.40801648175e-05
Goldwater, Sharon ==> 5.5377011682e-05
Ceberio, Klara ==> 2.30325690794e-05
Biermann, Alan W. ==> 0.000364122777398
Schwarz, Anne ==> 1.93728596673e-05
Horacek, Helmut ==> 0.000294001355747
Liu, Jianyi ==> 2.16142346344e-05
Bian, Guo-Wei ==> 5.94435282505e-05
Volosen, Ionut ==> 3.18163367278e-05
Ovrelid, Lilja ==> 5.31232622381e-05
Thompson, Henry S. ==> 0.000148617156414
Li, Fangtao ==> 5.3619152839e-05
Cristea, Dan ==> 0.000181140451067
De Meulder, Fien ==> 0.000264008379206
Witten, Ian H. ==> 9.47294584603e-05
Lopez-Lopez, Aurelio ==> 2.67474958238e-05
Mangu, Lidia ==> 2.73472268505e-05
Kass, Robert ==> 3.83028807706e-05
Ren, Han ==> 3.06332156926e-05
Spiezio, Antonella ==> 1.98806475817e-05
Giampiccolo, Danilo ==> 6.38416030983e-05
Rajah, Sonya ==> 1.61183603298e-05
Shaked, Nava A. ==> 1.90297567851e-05
Routledge, Bryan R. ==> 3.31422135933e-05
Li, Shuguang ==> 3.27603782157e-05
Iordanskaja, Lidija ==> 5.84356451451e-05
Zhang, Byoung-Tak ==> 9.11670438313e-05
He, Saike ==> 2.38732410428e-05
Kornai, András ==> 0.000137398583818
Rabiner, Lawrence R. ==> 7.87870565199e-05
Ubaldino, Marc ==> 2.5165620717e-05
Yip, Kenneth Man-Kam ==> 2.17317421404e-05
Lin, Winston ==> 7.23856612969e-05
Smith, Ira ==> 7.94878620478e-05
Yaginuma, Yoshitomo ==> 2.18375561629e-05
Zhang, Peng ==> 5.3600837498e-05
Mima, Hideki ==> 6.50525031528e-05
Federici, Stefano ==> 5.34612698669e-05
Hafdell, Love ==> 2.26003481536e-05
Danielsson, Pernilla ==> 1.71117572164e-05
Copeck, Terry ==> 2.39720054637e-05
Lunati, Jean-Michel ==> 2.50417269618e-05
Birke, Julia ==> 7.25621545574e-05
Twomey, David ==> 2.61629637152e-05
Knoll, Sonja ==> 2.09802445788e-05
Swerts, Marc ==> 0.000124445144874
Tsurumaru, Hiroaki ==> 5.21178347236e-05
Masaaki, Yasuhara ==> 1.99704179952e-05
DiMarco, Chrysanne ==> 5.18527503416e-05
Hruschka Junior, Estevam Rafael ==> 4.16113967487e-05
Haenelt, Karin ==> 5.09455896152e-05
Imai, Takeshi ==> 7.93860162942e-05
Fabri, Ray ==> 1.86664298732e-05
Piskorski, Jakub ==> 0.000125854907895
Hansen, John P. ==> 4.43075042147e-05
Gancedo, Maria C. ==> 1.74029937945e-05
Buch-Kromann, Matthias ==> 5.23911558561e-05
Gamage, Kumudu ==> 2.4529965435e-05
Branco, Antonio ==> 4.94086400021e-05
Gledson, Ann ==> 3.55081779776e-05
Guthrie, Louise ==> 0.000386670026303
Martin, Joel ==> 0.000194091388205
Haase, Kenneth ==> 2.70484267698e-05
Li, Bo ==> 2.3562781965e-05
Naseem, Tahira ==> 9.82320330869e-05
Bulyko, Ivan ==> 4.10350607726e-05
Lee, Jonghoon ==> 3.46916494308e-05
Rosner, Michael ==> 0.000135784968465
Tarau, Paul ==> 0.000229864368959
Cavedon, Lawrence ==> 5.67796117468e-05
Uchida, Hiroshi ==> 2.79486545108e-05
Schauer, Holger ==> 3.45203915281e-05
Douglas, Benjamin ==> 3.57142120214e-05
Brandyberry, David ==> 4.09345995285e-05
Miller, Bradford W. ==> 0.000114745271287
Temin, Aaron ==> 1.82936177969e-05
Ichioka, Kenichi ==> 4.11855630282e-05
Cordier, D. ==> 2.62388881438e-05
Seki, Kazuhiro ==> 4.26189877341e-05
Wang, Yi-Chia ==> 2.47056934481e-05
Chan, Hayward H. ==> 2.89397177305e-05
Tonelli, Sara ==> 0.000104365145516
El-Shishiny, Hisham ==> 2.09972087883e-05
Farley, Benoit ==> 2.73143532967e-05
Levin, Esther ==> 6.69000784906e-05
Gemello, Roberto ==> 1.60496325777e-05
Yosiyuki, Kobayasi ==> 5.45563510275e-05
Vaughan, Marie M. ==> 4.66661971555e-05
Kazama, Jun'ichi ==> 0.000445800387033
Chen, Harr ==> 7.78966725251e-05
Lee, Yoong Keok ==> 0.000239024005639
Magnuson, Tina ==> 3.33162364568e-05
Pianta, Emanuele ==> 0.000120618194669
Gweon, Gahgene ==> 2.20733900291e-05
Weston, Jason ==> 3.43561439229e-05
Witte, Ren ==> 2.51555258118e-05
Cox, Stephen ==> 1.59763833512e-05
Xiong, Hao ==> 4.8019632116e-05
Gaudinat, Arnaud ==> 2.92182168686e-05
Chiocchetti, Elena ==> 3.13858185393e-05
Willners, Caroline ==> 3.06281634014e-05
Yamaoka, Takayuki ==> 2.85089275568e-05
Callmeier, Ulrich ==> 7.5032431698e-05
Oliveira, Paulo C F de ==> 2.91878920777e-05
Sugimoto, Masakatsu ==> 1.99025175331e-05
Wenliang, Chen ==> 4.21374005437e-05
Xue, Song ==> 3.1266287875e-05
Jaruskulchai, Chuleerat ==> 2.44092191093e-05
Kumano, Akira ==> 8.31718332143e-05
Chao, Chih-Yu ==> 1.7755911764e-05
Kerminen, Antti ==> 2.83246757993e-05
Krkoska, Michael ==> 2.05067275504e-05
Qian, Longhua ==> 5.28802712468e-05
Arguello, Jaime ==> 5.46843258946e-05
Cordova, Aaron ==> 4.03428005633e-05
Bandyopadhyay, Sivaji ==> 0.00014514653284
Chen, Chun ==> 1.98709908745e-05
Wolinski, Francis ==> 6.78251437002e-05
Rudnicky, Alexander I. ==> 0.000391486925187
Hayes, Bruce ==> 4.45174647466e-05
Sun, Guihua ==> 5.70224520313e-05
He, Tingting ==> 2.02302820639e-05
Ichii, Koji ==> 2.94836176567e-05
Svensson, Hans ==> 3.47300190225e-05
Decary, Michel ==> 2.11552124073e-05
Kaji, Yuichi ==> 2.12280462972e-05
Minsky, Marvin ==> 1.61063054338e-05
Silva, João ==> 4.57160306802e-05
Hairetakis, Nikolaos ==> 1.86705500162e-05
Spooren, Wilbert ==> 2.70903287567e-05
Hana, Jirka ==> 6.5948397053e-05
Drummey, Kevin W. ==> 6.84008534711e-05
Huang, Eng-Fong ==> 5.35018842714e-05
Huh, Hyun-Gue ==> 6.37638482471e-05
Kim, Joungbum ==> 3.55439419735e-05
Breidt, Elisabeth ==> 6.22787302168e-05
Bringert, Bjorn ==> 3.2921800066e-05
Daum, Michael ==> 6.30401599181e-05
Aldag, Bjorn ==> 2.68638759651e-05
Damljanovic, Danica ==> 2.44527076188e-05
Jahr, Michael ==> 0.000108503189213
Hurault-Plantet, Martine ==> 2.87252951264e-05
Aranzabe, Maxux J. ==> 4.24843010477e-05
Mahasarakham, Puwarat Pavaputanont Na ==> 1.61905935749e-05
Druck, Gregory ==> 7.3718687168e-05
Park, Kyung-Mi ==> 7.12841050709e-05
Graft, David ==> 2.12342908101e-05
Oim, Haldur ==> 4.28840619539e-05
Hahn, Sangyun ==> 2.8529954492e-05
Bengtson, Eric ==> 4.15479456335e-05
Michaud, Lisa N. ==> 4.15350410688e-05
Buttery, Paula ==> 3.98248821844e-05
Deyne, Simon De ==> 2.17789520099e-05
Regelson, Moira ==> 2.10839708288e-05
K&#228;&#228;ri&#228;inen, Matti ==> 4.56361583313e-05
DeRose, Steven J. ==> 0.000180368792944
Baroni, Paola ==> 1.87237595025e-05
Bisson, Gilles ==> 2.90572285915e-05
Li, Guofu ==> 4.90582706558e-05
Martinez Hinarejos, Carlos D. ==> 3.83179293772e-05
Wong, Hongsing ==> 9.137103533e-05
Favre, Benoit ==> 6.30681905112e-05
Bolioli, Andrea ==> 3.8739760203e-05
Sudre, Karen ==> 2.49796676032e-05
Wagstaff, Kiri ==> 0.000142988746005
Pado, Sebastian ==> 0.000295759242033
Kweon, Cheoljung ==> 8.30215964689e-05
Kaufmann, Tobias ==> 2.21421396924e-05
Carenini, Giuseppe ==> 0.00033353766658
Li, Hongqiao ==> 0.00010957784676
Amoia, Marilisa ==> 5.49088895781e-05
Van Vark, R. J. ==> 1.71481163434e-05
Hung, K. Y. ==> 2.3731800237e-05
Park, HyukRo ==> 2.83716438986e-05
Ding, Zhuoye ==> 2.78790903409e-05
De Boni, Marco ==> 5.8121925212e-05
Kopotev, Mikhail ==> 2.40221077837e-05
Farber, Benjamin ==> 2.5697218254e-05
Ures, Lubos ==> 7.13134912962e-05
Zourari, Maria ==> 1.71949438378e-05
Bretan, Ivan ==> 9.88544506444e-05
Morawietz, Frank ==> 3.33314192652e-05
Mazzei, Alessandro ==> 9.66731307595e-05
K&#246;pr&#252;, Sel&#231;uk ==> 2.85881125584e-05
Lin, Wen-Cheng ==> 2.76852094482e-05
Akkaya, Cem ==> 7.93357654304e-05
Xu, Mingwei ==> 1.76977541596e-05
Jonsson, Anna ==> 2.48772876579e-05
Rao, Delip ==> 5.90686781282e-05
Popov, Borislav ==> 2.64407647297e-05
Taylor, Paul ==> 0.000169562008024
Sumida, Asuka ==> 5.60380890706e-05
Felger, Niko ==> 1.79229489839e-05
Rottmann, Kay ==> 7.77936838606e-05
Ringger, Eric K. ==> 0.000328047886462
Choi, Misook ==> 0.000125116525612
Huang, Degen ==> 4.95575282841e-05
Katz, Boris ==> 0.000169786430704
Beigman, Eyal ==> 6.04983772785e-05
Suzuki, Jun ==> 0.000414695946595
Gerstl, Peter ==> 2.17511210199e-05
Bratus, Sergey ==> 3.96973667719e-05
Costa Florencio, Christophe ==> 8.21284275288e-05
Bowes, Chris ==> 3.5381076678e-05
Hof, Alexander ==> 1.99758326308e-05
Poel, Mannes ==> 1.7523023343e-05
Laporte, Eric ==> 7.11429783818e-05
