 ==> 0.0272685061979
Kit, Chunyu ==> 0.000504029339336
Federici, Stefano ==> 1.45693399826e-05
Danielsson, Pernilla ==> 0.0
Copeck, Terry ==> 2.46809969416e-07
Lunati, Jean-Michel ==> 1.00829478877e-07
Birke, Julia ==> 8.93815989715e-06
Twomey, David ==> 1.46808419612e-07
Knoll, Sonja ==> 2.20502981957e-07
Swerts, Marc ==> 1.93149386998e-05
Tsurumaru, Hiroaki ==> 3.59028830157e-06
DiMarco, Chrysanne ==> 1.04434957582e-05
Haenelt, Karin ==> 0.000226716664248
Imai, Takeshi ==> 1.11481576666e-05
Fabri, Ray ==> 0.0
Piskorski, Jakub ==> 0.000119028260722
Hansen, John P. ==> 3.03750505312e-06
Buch-Kromann, Matthias ==> 1.80503111705e-06
Gamage, Kumudu ==> 0.0
Gledson, Ann ==> 1.50429081333e-06
Guthrie, Louise ==> 0.00099044314093
Martin, Joel ==> 4.45768447807e-05
Haase, Kenneth ==> 3.45174076486e-07
Li, Bo ==> 1.90785217991e-10
Naseem, Tahira ==> 4.35642221121e-07
Bulyko, Ivan ==> 1.67655530227e-06
Lee, Jonghoon ==> 5.04279734818e-07
Rosner, Michael ==> 0.000143343072233
Tarau, Paul ==> 0.000137251212835
Cavedon, Lawrence ==> 2.85641916974e-06
Uchida, Hiroshi ==> 1.82187385328e-06
Schauer, Holger ==> 2.53832625351e-07
Douglas, Benjamin ==> 1.49477547096e-08
Brandyberry, David ==> 3.43243806926e-06
Miller, Bradford W. ==> 6.74650074504e-05
Temin, Aaron ==> 0.0
Cordier, D. ==> 1.78630331825e-07
Seki, Kazuhiro ==> 7.5027181497e-07
Wang, Yi-Chia ==> 1.25929973962e-07
Chan, Hayward H. ==> 0.0
Tonelli, Sara ==> 4.34423669616e-06
El-Shishiny, Hisham ==> 0.0
Farley, Benoit ==> 6.50700898898e-09
Levin, Esther ==> 5.12601393708e-06
Gemello, Roberto ==> 0.0
Yosiyuki, Kobayasi ==> 5.16417716946e-06
Vaughan, Marie M. ==> 5.80415304514e-06
Kazama, Jun'ichi ==> 0.000170349670104
Chen, Harr ==> 6.06483444513e-08
Lee, Yoong Keok ==> 0.000117302950729
Magnuson, Tina ==> 1.96081621989e-06
Pianta, Emanuele ==> 5.2096252157e-05
Gweon, Gahgene ==> 0.0
Weston, Jason ==> 7.13038087457e-08
Witte, Ren ==> 4.47920270393e-07
Cox, Stephen ==> 0.0
Gaudinat, Arnaud ==> 9.32063606136e-07
Chiocchetti, Elena ==> 6.37889032259e-07
Willners, Caroline ==> 1.88245884248e-06
Yamaoka, Takayuki ==> 2.03532828756e-08
Callmeier, Ulrich ==> 2.83775760869e-06
Oliveira, Paulo C F de ==> 3.10619235397e-07
Sugimoto, Masakatsu ==> 0.0
Wenliang, Chen ==> 3.36530381779e-07
Xue, Song ==> 2.04862919635e-07
Jaruskulchai, Chuleerat ==> 1.93340525243e-07
Kumano, Akira ==> 8.92568089108e-06
Chao, Chih-Yu ==> 0.0
Kerminen, Antti ==> 0.0
Krkoska, Michael ==> 1.13050014075e-09
Arguello, Jaime ==> 2.84451768769e-05
Cordova, Aaron ==> 2.85512867096e-08
Bandyopadhyay, Sivaji ==> 0.000327118943217
Chen, Chun ==> 1.13143424693e-09
Wolinski, Francis ==> 1.1278357748e-05
Rudnicky, Alexander I. ==> 0.00238493687511
Hayes, Bruce ==> 0.000221654201379
Sun, Guihua ==> 3.2751050066e-06
He, Tingting ==> 8.98391842706e-10
Ichii, Koji ==> 0.0
Svensson, Hans ==> 4.32088198803e-08
Decary, Michel ==> 5.21136227876e-09
Kaji, Yuichi ==> 0.0
Minsky, Marvin ==> 0.0
Silva, João ==> 2.2327170772e-08
Hairetakis, Nikolaos ==> 0.0
Spooren, Wilbert ==> 4.23410884987e-07
Hana, Jirka ==> 3.80773841194e-06
Drummey, Kevin W. ==> 9.39935920116e-06
Huang, Eng-Fong ==> 6.37531992176e-06
Huh, Hyun-Gue ==> 0.000164592575601
Kim, Joungbum ==> 6.11551089246e-07
Breidt, Elisabeth ==> 0.000112573511504
Bringert, Bjorn ==> 5.53591135607e-07
Daum, Michael ==> 2.24895969505e-06
Aldag, Bjorn ==> 1.45674645851e-06
Damljanovic, Danica ==> 1.92636976803e-07
Jahr, Michael ==> 3.94467785667e-06
Hurault-Plantet, Martine ==> 1.37243920948e-07
Aranzabe, Maxux J. ==> 7.32460362731e-07
Mahasarakham, Puwarat Pavaputanont Na ==> 0.0
Park, Kyung-Mi ==> 7.2875057988e-06
Graft, David ==> 4.37650930086e-08
Oim, Haldur ==> 5.78515688894e-06
Hahn, Sangyun ==> 1.17382559811e-07
Bengtson, Eric ==> 4.19006286632e-08
Michaud, Lisa N. ==> 4.40912082594e-06
Buttery, Paula ==> 8.40778667754e-08
Deyne, Simon De ==> 4.88897977145e-08
Regelson, Moira ==> 0.0
DeRose, Steven J. ==> 0.000179134520219
Baroni, Paola ==> 1.52152768274e-09
Bisson, Gilles ==> 6.912228652e-08
Li, Guofu ==> 1.8009362649e-07
Martinez Hinarejos, Carlos D. ==> 1.37952346147e-06
Wong, Hongsing ==> 1.08098056507e-05
Favre, Benoit ==> 2.80335018161e-06
Bolioli, Andrea ==> 2.11162726588e-06
Sudre, Karen ==> 0.0
Wagstaff, Kiri ==> 6.92575062905e-05
Pado, Sebastian ==> 0.000108118187754
Kweon, Cheoljung ==> 6.82977883991e-05
Kaufmann, Tobias ==> 3.01999064175e-08
Carenini, Giuseppe ==> 0.000209276663973
Li, Hongqiao ==> 2.45829844102e-05
Amoia, Marilisa ==> 1.92234720959e-06
Van Vark, R. J. ==> 0.0
Hung, K. Y. ==> 2.04652227638e-09
Park, HyukRo ==> 1.89837056014e-07
Ding, Zhuoye ==> 3.39992332055e-07
De Boni, Marco ==> 1.83957272508e-05
Kopotev, Mikhail ==> 1.27400866712e-08
Farber, Benjamin ==> 2.47348256205e-08
Ures, Lubos ==> 1.20899824494e-06
Zourari, Maria ==> 0.0
Bretan, Ivan ==> 1.71566501411e-05
Morawietz, Frank ==> 2.58772053483e-07
Mazzei, Alessandro ==> 0.000197417699029
Lin, Wen-Cheng ==> 1.10687300504e-07
Xu, Mingwei ==> 0.0
Jonsson, Anna ==> 9.67225903882e-11
Rao, Delip ==> 0.0
Popov, Borislav ==> 3.98349771429e-09
Taylor, Paul ==> 9.00932413175e-05
Sumida, Asuka ==> 4.56295887872e-06
Felger, Niko ==> 0.0
Rottmann, Kay ==> 4.14547176732e-07
Ringger, Eric K. ==> 0.000609232588402
Choi, Misook ==> 4.99435799516e-05
Huang, Degen ==> 1.04240064432e-05
Katz, Boris ==> 0.000109948830347
Suzuki, Jun ==> 0.000228147991016
Gerstl, Peter ==> 0.0
Bratus, Sergey ==> 2.10853665273e-07
Costa Florencio, Christophe ==> 0.0
Hof, Alexander ==> 0.0
Poel, Mannes ==> 0.0
Laporte, Eric ==> 0.00031539089654
Purwarianti, Ayu ==> 0.0
Watkinson, Stephen ==> 1.79259931919e-07
Li, Yaoyong ==> 7.62621144305e-07
Jing, Hongyan ==> 0.00336011290955
Miller, L. G. ==> 1.94029651643e-06
Lally, Adam ==> 0.0
Friberg, Karin ==> 0.0
Chan, Terence Y. W. ==> 1.07724462284e-10
Sukvari, Thana ==> 9.12923288789e-08
Tsovaltzi, Dimitra ==> 9.41608462566e-09
Maruyama, Ichiro ==> 1.01910934141e-08
Waltz, David L. ==> 0.000287994172502
Mayor, A. ==> 0.0
Maamouri, Mohamed ==> 4.31748456208e-06
Okabe, Masayuki ==> 3.18417999486e-06
Montoyo, Andres ==> 1.09461628115e-05
Stabler Jr., Edward P. ==> 5.15818486734e-06
Oostdijk, Nelleke ==> 1.32159601707e-07
Singleton, Matt ==> 0.0
Silverman, Kim E. A. ==> 4.09093271742e-08
Stumberger, Douglas E. ==> 6.585161194e-05
Claveau, Vincent ==> 1.22496362458e-05
Cotto, D. ==> 0.000132753163851
Badler, Norman ==> 2.47041472895e-07
Miyazaki, Noboru ==> 5.76582729698e-06
Liao, Xiantao ==> 1.11179911693e-07
Gaston, Jeremy ==> 2.43543858096e-07
Biewald, Luke ==> 1.69533891672e-06
Nishizawa, Shinichiro ==> 4.76569708761e-07
Barthelemy, Francois ==> 7.20212346283e-05
Kim, Jae-Ho ==> 2.44073585564e-06
Croft, William ==> 9.38038411344e-06
Gupta, Piklu ==> 4.5212319621e-07
Dorr, Bonnie Jean ==> 0.00463509766944
Al-Fares, Waleed ==> 1.79188639915e-05
Masaki, Noguchi ==> 1.82091562962e-10
Netter, Klaus ==> 0.00027195292829
Wintner, Shuly ==> 0.000122287652803
Dahlqvist, Bengt ==> 2.22605692988e-09
Stein, Gees C. ==> 8.46965711543e-06
Horvitz, Eric ==> 3.96169774887e-05
Lynam, T. R. ==> 1.92468946552e-08
Huang, Jin-Xia ==> 0.000108349307325
Goweder, Abduelbaset ==> 0.0
Copestake, Ann ==> 0.00144211529211
Kawai, Atsuo ==> 9.63859149648e-05
Hasegawa, Yuji ==> 4.0817235464e-06
Garigliano, Roberto ==> 1.32732185491e-05
Liu, Key-Long ==> 3.06452662402e-05
Chow, Ka-Po ==> 0.0
Morimoto, Yasutsugu ==> 5.10354668795e-05
Kalman, Laszlo ==> 2.77745901621e-07
Weerasinghe, Ruvan ==> 0.0
Hung, Hsieh-Chuan ==> 0.0
Sadat, Fatiha ==> 6.16863917348e-05
Wightman, Colin ==> 1.93590314609e-05
Manning, Christopher D. ==> 0.0155842774435
Hiatt, Laura ==> 8.78006762275e-07
Goldlust, Eric ==> 6.54695007105e-07
Hearst, Marti A. ==> 0.018210409136
He, Yulan ==> 9.82267390473e-07
Yamaji, Takahiro ==> 3.95433197665e-07
Å tepÃ¡nek, Jan ==> 3.08274116824e-07
Talbot, David ==> 9.29250668854e-06
Kuhn, Michael ==> 1.33446408093e-06
Shimizu, Nobuyuki ==> 0.000210146830136
Kudo, Taku ==> 0.0014928726862
Gibb, Darl ==> 5.6098369785e-06
Master, Demetrios ==> 4.39702257726e-09
McNaught, John ==> 8.92522254716e-05
Clark, Peter ==> 4.24636571179e-06
Ori, Manabu ==> 5.84068103158e-06
Daly, Nancy ==> 7.11956232019e-07
Hitzeman, Janet ==> 0.000295828371844
Pack, Daniel ==> 0.0
Nemat-Nasser, Syrus C. ==> 3.10630207939e-07
Belenko, Dmitriy ==> 5.45022423954e-07
Touset, Pascal ==> 0.0
Goodman, Bradley A. ==> 4.85573268115e-05
English, Michael ==> 9.10299959375e-09
Dakka, Wisam ==> 8.83760013742e-07
Blaser, Brigitte ==> 6.72152372798e-06
Ali, Mohammad Naveed ==> 3.11405335733e-08
Prince, Violaine ==> 0.000241333377624
Mukerjee, Amitabha ==> 1.61105022004e-05
