Ucoluk, Gokturk ==> 2.56494208494e-05
Romano, Lorenza ==> 0.000180183078345
Araki, Tetsuo ==> 3.51474299438e-05
Huang, Xuanjing ==> 0.000116623914276
Chang, Pi-Chuan ==> 0.000310495495567
Garbuio, Lorenzo ==> 2.31064104599e-05
Jean-Marie, Francois ==> 3.13328565365e-05
Dong, Qiang ==> 3.82269630644e-05
Redlawsk, David P. ==> 1.59107643472e-05
Hautli, Annette ==> 4.46569111158e-05
Borissova, Elena ==> 1.49392900109e-05
Esteban, Jose ==> 2.40237792691e-05
Tomita, Masaru ==> 0.000226888837837
Hempelmann, Christian F. ==> 4.90518508705e-05
Kasahara, Kaname ==> 3.44523351261e-05
Muoz, R. ==> 3.67200236632e-05
Dietzel, Taiko ==> 4.252491545e-05
Yuan, Wei ==> 3.46491475308e-05
McTear, Michael F. ==> 1.86754877889e-05
Collins, Michael John ==> 0.00321847050884
Bungeroth, Jan ==> 1.56480763903e-05
Maier, David ==> 2.21891230674e-05
Ram, Ashwin ==> 1.41896017613e-05
Park, Jungyeul ==> 2.26817495949e-05
Zhang, Yibo ==> 1.46822183312e-05
Zhao, Ying ==> 2.33574954396e-05
Kim, Seokhwan ==> 5.54965024579e-05
Cannesson, Emmanuelle ==> 1.55484342599e-05
Morton, Thomas S. ==> 0.000128947702606
Luquet, Pierre-Sylvain ==> 3.80331833033e-05
Dauphin, Eva ==> 7.92333786945e-05
Huang, Bryant ==> 4.51433047134e-05
Roukos, Salim ==> 0.00224332144245
Liu, Yixuan ==> 2.17769821841e-05
Yoshimura, W. ==> 2.62158699529e-05
Cohen, Michael ==> 3.39947455742e-05
van Santen, Jan ==> 3.7718974458e-05
Hassel, Martin ==> 1.46567993497e-05
Voyer, Robert ==> 2.20954416887e-05
Hou, Min ==> 2.64301777851e-05
Boda, Peter Pal ==> 1.36916789075e-05
Swanson, Reid ==> 6.34423880992e-05
Douthat, A. ==> 2.41302688039e-05
Manganaro, Linda ==> 2.99178805678e-05
Ben Gur, Assaf ==> 1.88870016707e-05
Ng, Hwee Tou ==> 0.00226599921788
Ahlswede, Thomas E. ==> 0.000143327297744
Sehitoglu, Onur T. ==> 1.387025612e-05
Kawazoe, Ai ==> 3.38134828082e-05
Murphy, Kevin ==> 3.21339206791e-05
Ibekwe-SanJuan, Fidelia ==> 4.1511092964e-05
Kermes, Hannah ==> 3.03028175284e-05
Rattanamanee, Patthrawan ==> 3.13318831217e-05
Vargas-Vera, Maria ==> 1.80386759815e-05
Zhang, Guoqing ==> 2.11122821686e-05
Pan, Yue ==> 3.45930905718e-05
Mather, Laura A. ==> 6.04769508965e-05
Mexia, Joao ==> 2.35227148737e-05
Wei, Yu-Chuan ==> 4.0284691621e-05
Alam, Hassan ==> 1.85527070085e-05
Kundu, Amlan ==> 2.0714407457e-05
Wang, Xuanhui ==> 2.68604490672e-05
Kettunen, Kimmo ==> 2.60275193185e-05
Soon, Wee Meng ==> 0.000275273852739
Bloom, Jonathan ==> 1.9956863775e-05
de Pablo-Sanchez, Cesar ==> 2.00980333112e-05
Vo, Tai ==> 4.338313966e-05
Soudi, Abdelhadi ==> 3.125374124e-05
Carvey, Hannah ==> 6.76612199214e-05
Nov&aacute;k, V&aacute;clav ==> 0.000107338934558
Knopp, Johannes ==> 4.0367013724e-05
Biber, Douglas ==> 6.83309269865e-05
Ule, Tylman ==> 4.24788033235e-05
Liu, Qiu ==> 2.02554404695e-05
Chang, Jing-Shin ==> 0.000174030174106
Moulin, Bernard ==> 1.68459940562e-05
Garcia, Ernest V. ==> 1.41896017613e-05
Ge, Mingmin ==> 3.436565486e-05
Celli, Fabio ==> 2.34160340695e-05
Bogdanova, Daria ==> 1.75247638762e-05
Gupta, Pracheer ==> 1.67567623831e-05
Penkale, Sergio ==> 6.6738188902e-05
Ciravegna, Fabio ==> 0.000110396830347
Bosch, Sonja ==> 4.23335647052e-05
Scheible, Silke ==> 3.7380369971e-05
Wang, Haifeng ==> 0.000570100811402
Gopalan, Banu ==> 1.77176561465e-05
Murakami, Jin'ichi ==> 1.8595677401e-05
Watanabe, Yotaro ==> 0.0001378306239
Glachin, Egidio P. ==> 4.62020020769e-05
Viljanen, Timo ==> 3.68412453809e-05
Slator, Brian M. ==> 8.61405223011e-05
Skadhauge, Peter Rossen ==> 1.9707889833e-05
Tang, Buzhou ==> 2.64770396063e-05
Tanimoto, Steven L. ==> 1.84146170714e-05
Tomasic, Anthony ==> 2.52930517105e-05
Baldwin, Breck ==> 0.000274111409524
Asakura, Takeshi ==> 2.15942226673e-05
Jansen, Aren ==> 2.25830083169e-05
Oflazer, Kemal ==> 0.000622359162392
Skadina, Inguna ==> 2.14417519951e-05
Pinchak, Christopher ==> 4.43988392583e-05
George, Bryan ==> 1.3632927542e-05
Park, Hunil ==> 1.92189661826e-05
Inagaki, Yasuyoshi ==> 9.75818984153e-05
Wu, Shumin ==> 4.20825484471e-05
Vogler, Heiko ==> 4.37089455921e-05
Kawai, Hisashi ==> 4.20258808467e-05
Kim, Jee-Hyub ==> 2.08935397352e-05
Roy, Nicholas ==> 2.82123794554e-05
Winiwarter, Werner ==> 1.36686450399e-05
Ward, Nigel ==> 2.57632265834e-05
Mitchell, Jeff ==> 0.00011594530596
III, Hal ==> 0.000103688793212
Buckland, Michael ==> 1.47485422598e-05
Jamsen, Anna ==> 1.72648320457e-05
Tsvetkov, Yulia ==> 7.29954544902e-05
Wang, Guangwei ==> 1.58665918309e-05
Wang, Arthur ==> 1.94589234247e-05
Takagi, Shinichiro ==> 3.13263455186e-05
Hartono, Rachmat ==> 1.85527070085e-05
Bergsma, Shane ==> 0.000513890138872
Cardinal, Patrick ==> 1.66011875644e-05
Gabay, David ==> 5.86241508816e-05
Macklovitch, Elliott ==> 6.19822501574e-05
Ferro, Lisa ==> 9.27301196566e-05
Kameyama, Megumi ==> 0.000327421921364
Ge, Niyu ==> 0.000230416085355
Park, Y. Albert ==> 4.05515076357e-05
Kim, Seongyong ==> 1.93425341738e-05
Zhang, Dakun ==> 3.90988549182e-05
Yusuf, Hammam R. ==> 2.38746985606e-05
Klingenstein, Sara ==> 4.11249312532e-05
Grimm, Scott ==> 1.511813708e-05
Spurk, Christian ==> 3.68566726764e-05
Su, Jian ==> 0.00105699299585
Radicioni, Daniele P. ==> 1.40978901531e-05
King, Paul John ==> 2.64714451132e-05
Bhattacharyya, Pushpak ==> 0.000331784644408
Clark, Stephen ==> 0.00154231506423
Candido Jr., Arnaldo ==> 4.111596459e-05
Monte, Enric ==> 2.59336992307e-05
Xu, Rong ==> 3.41407673227e-05
Sun, Ye ==> 3.9643167013e-05
Asher, Nicholas ==> 0.000142570291961
Wolz, Ursula ==> 1.54115834507e-05
Beale, Stephen ==> 0.000174774430016
Castano, Jose M. ==> 8.07591975943e-05
Liang, Lin ==> 2.34738946428e-05
Hu, Rile ==> 3.07104057459e-05
Lee, Chi-Hoon ==> 3.7235654896e-05
Busby, George ==> 8.00999167509e-05
Burstein, Jill ==> 0.000200293584735
Taura, Kenjiro ==> 2.08483247768e-05
Frunza, Oana ==> 2.6424225683e-05
Cheng, Yong ==> 2.93064994568e-05
Tom, Janet ==> 1.58363582891e-05
Winkel, Adam ==> 2.33025513728e-05
Kaplan, S. Jerrold ==> 6.07613583464e-05
Prasad, Hima K. ==> 3.37668905863e-05
Su&aacute;rez, Armando ==> 0.000141202938135
Busemann, Stephan ==> 0.000186750958782
Ichikawa, A. ==> 2.62158699529e-05
Hahn, Stefan ==> 1.83353833129e-05
Mann, Gideon S. ==> 0.000443702544449
Musgrave, Simon ==> 1.85163806078e-05
Samy, Doaa ==> 3.52522060565e-05
Israel, David J. ==> 0.000130949897818
Maynard, H&eacute;l&egrave;ne ==> 2.4320252946e-05
Davis, Jenny ==> 1.58337825028e-05
Johnson, Christopher ==> 3.92642062323e-05
Fernandes, Eraldo ==> 2.00689410932e-05
Moldovan, Christian ==> 1.52588790396e-05
Mayfield, Elijah ==> 6.59327246315e-05
Izagirre, Eli ==> 1.77450830871e-05
Brandow, Ronald ==> 4.90589454396e-05
Cimiano, Philipp ==> 0.000136230331563
Leidner, Jochen L. ==> 6.77771208967e-05
Hartmann, Knut ==> 1.40744820847e-05
Cheung, Jackie Chi Kit ==> 9.50936014344e-05
Psutka, J. ==> 1.87378438568e-05
Yuura, Katsuhiko ==> 4.0892476954e-05
Dudik, Miroslav ==> 2.08740246241e-05
Kukich, Karen ==> 0.00020335628483
Yamasaki, Noriyuki ==> 2.0748005925e-05
Bordea, Georgeta ==> 2.94734291051e-05
Ritz, Julia ==> 4.99494281803e-05
O'Donnell, Michael ==> 0.000172204245199
Ibrahim, Ali ==> 5.84951554522e-05
Agarwal, Abhaya ==> 0.000142227685172
Abouzakhar, Nasser ==> 2.05501708447e-05
Sanchez, Antonio Vaquero ==> 1.83378427794e-05
Bellare, Kedar ==> 5.55767863953e-05
Yuen, Denis ==> 3.65051784821e-05
Haque, Rejwanul ==> 4.46251810086e-05
Deksne, Daiga ==> 2.14417519951e-05
Galu&scaron;&ccaron;&aacute;kov&aacute;, Petra ==> 2.33176957755e-05
Master, Demitrios ==> 2.03258114977e-05
Geisler, Daniel ==> 2.12785240626e-05
Nahnsen, Thade ==> 3.31161558384e-05
Kaisser, Michael ==> 6.40704673347e-05
Wang, Zhiguo ==> 1.75358742008e-05
Ylilammi, Matti ==> 5.98693544445e-05
Boccalatte, A. ==> 2.58279971242e-05
Feng, Junlan ==> 7.65148394689e-05
Sch&uuml;tze, Hinrich ==> 0.000928418647158
Topi&cacute;, Goran ==> 8.44272958274e-05
Engel, Donald ==> 2.70804442346e-05
Alonso Alemany, Laura ==> 6.73824399307e-05
Xia, Xinsong ==> 6.39979828083e-05
Strzalkowski, Tomek ==> 0.000560487199614
Winters, Scott ==> 0.000125194637999
Farr&eacute;, Jacques ==> 2.08266403942e-05
Binnick, Robert I. ==> 8.69036238811e-05
Suh, Sungki ==> 1.72336127029e-05
IJdens, Jan ==> 2.28943601611e-05
Light, Marc ==> 0.000191901643551
Hirsim&auml;ki, Teemu ==> 5.67915271462e-05
Steedman, Mark ==> 0.00089188731457
Tsai, Dylan B. S. ==> 3.73153657693e-05
Yu, Jin ==> 4.76881974615e-05
Kerre, Etienne ==> 1.98200299298e-05
Mansikkaniemi, Andre ==> 3.34645079055e-05
Freeman, Andrew ==> 2.10578242136e-05
Raab, Jan ==> 3.67603890426e-05
Nguyen, ThuyLinh ==> 3.81614820057e-05
Fisher, Seeger ==> 6.27399455041e-05
Sawai, Susumu ==> 1.69550648512e-05
Marciniak, Tomasz ==> 5.09789160523e-05
Pentheroudakis, Joseph ==> 1.65108863965e-05
Cartwright, Timothy A. ==> 1.44069782842e-05
Bieler, Heike ==> 1.79188670125e-05
Eastmond, John F. G. ==> 1.72072516987e-05
Gilbert, Mazin ==> 2.82440108544e-05
Cohen, Yohai ==> 1.64078004516e-05
Wang, Zhiyang ==> 3.96635459474e-05
Elson, David K. ==> 6.32250600575e-05
Gillick, Dan ==> 0.000130218714745
Lacheret-Dujour, Anne ==> 1.39657020499e-05
P., Praveen ==> 2.00657440067e-05
Schuler, William ==> 0.000264882588536
Ozsoy, Makbule ==> 1.87729804377e-05
Tsuruoka, Akio ==> 6.03133885838e-05
Zeiler, Shawn ==> 3.9643167013e-05
Dou, Yanzhao ==> 1.4293795657e-05
Sarma, Vaijayanthi ==> 2.64578844949e-05
Myllari, Aleksandr ==> 1.70580806575e-05
Dunne, Simon ==> 1.93580044723e-05
Manandhar, Suresh ==> 0.000395929617312
Rabiega-Wisniewska, Joanna ==> 2.89553998331e-05
Santaholma, Marianne ==> 0.000157683991791
Katz, Karen ==> 0.000234646056921
Gruenstein, Alexander ==> 0.000103002386195
Boros, Emanuela ==> 1.66883450307e-05
Snyder, Benjamin ==> 0.000380219921833
Jauhiainen, Krista ==> 2.30966958453e-05
Okamoto, Jun ==> 1.48612261038e-05
Silva, Roberto ==> 3.73639859571e-05
Dahlback, Nils ==> 7.00203345062e-05
Cui, Hang ==> 3.94711528721e-05
Kirsten, Mathias ==> 2.42208596351e-05
Mitra, Pabitra ==> 6.84303511882e-05
Shieber, Stuart M. ==> 0.00107468306684
Li, Wenbo ==> 3.23393146129e-05
Komiya, Kanako ==> 1.90027148633e-05
Dunne, Cody ==> 4.35409287429e-05
Kohl, Dieter ==> 3.17286148144e-05
Albrecht, Joshua ==> 0.000116138726603
Bestougeff, Helene ==> 1.49094558782e-05
Benedict, Richard ==> 3.37214328989e-05
Shrestha, Lokesh ==> 7.15452051583e-05
Kveton, Pavel ==> 0.000132052559494
Wolska, Magdalena ==> 6.21548430246e-05
Yu, Bin ==> 2.60990758971e-05
Pinchuk, Rani ==> 1.45108161714e-05
Kato, Susumu ==> 1.98344529424e-05
Reddy, Manohar ==> 2.72379674954e-05
Canisius, Sander ==> 0.000102880146123
Peitz, Stephan ==> 6.21161257034e-05
Ibushi, Katsutoshi ==> 5.69908203578e-05
Hardy, Hilda ==> 4.31857544109e-05
Oh, Jong-Hoon ==> 0.000192753259937
Takeuchi, Nao ==> 1.51338764009e-05
Kambayashi, Yahiko ==> 1.36686450399e-05
Benson, Edward ==> 6.45642709342e-05
Reddy, Nandi ==> 3.77558607413e-05
Zhu, Honggang ==> 3.40319275272e-05
Semecky, Jiri ==> 3.70746092334e-05
Foster, Dean ==> 3.12323679568e-05
Pedersen, Bolette Sandford ==> 1.83378427794e-05
Huang, Yunfeng ==> 3.54090671413e-05
Saarikoski, Harri M. T. ==> 1.73481608372e-05
Liu, Juan ==> 1.89830871842e-05
Riza, Hammam ==> 5.23401191892e-05
Ooyama, Yoshifumi ==> 4.10120357769e-05
Brouwer, Harm ==> 1.69908556437e-05
Gillon, Brendan S. ==> 1.82522443532e-05
Detre, Greg ==> 1.67440262863e-05
Takeuchi, Masahito ==> 1.80605894161e-05
De Smet, Wim ==> 2.16406278898e-05
Vega, Jose ==> 2.51970577914e-05
Laws, Florian ==> 0.000172175884355
Gottesman, Benjamin ==> 2.04078311828e-05
Simonova, O. P. ==> 8.69036238811e-05
Liden, Per ==> 4.14671705009e-05
Consoli, Carlo ==> 2.47008193162e-05
Chae, Jieun ==> 5.34398371936e-05
Toporowska Gronostaj, Maria ==> 1.80646206966e-05
Arehart, Mark ==> 1.42095544625e-05
Stratford, Evan ==> 2.43817688213e-05
Guardiola, Mathilde ==> 1.72684373242e-05
Goldwater, Sharon ==> 0.000616932076829
Ceberio, Klara ==> 1.82115696356e-05
Biermann, Alan W. ==> 0.000282916169438
Schwarz, Anne ==> 1.54575978189e-05
Taljard, Elsab&eacute; ==> 1.95028392358e-05
Horacek, Helmut ==> 0.00022206396218
Liu, Jianyi ==> 1.77701128601e-05
Solti, Imre ==> 1.85875611708e-05
Bian, Guo-Wei ==> 4.59942580781e-05
Volosen, Ionut ==> 2.49145641339e-05
Thompson, Henry S. ==> 0.000111979823582
Pretorius, Rigardt ==> 1.46529893426e-05
Li, Fangtao ==> 8.78386767279e-05
Cristea, Dan ==> 0.000136798878307
De Meulder, Fien ==> 0.000227402975862
Antoniadis, G. ==> 2.6643270089e-05
Chen, Bo-Nian ==> 2.0024044175e-05
Witten, Ian H. ==> 8.06617593654e-05
Lopez-Lopez, Aurelio ==> 2.13313643737e-05
Mangu, Lidia ==> 2.18333980908e-05
Kass, Robert ==> 3.01427548295e-05
Ren, Han ==> 3.55209565677e-05
Spiezio, Antonella ==> 1.69721689317e-05
Finin, Tim ==> 7.09820248012e-05
Giampiccolo, Danilo ==> 8.80046299631e-05
Rajah, Sonya ==> 1.37973464088e-05
Davies, Ross A ==> 1.48837790104e-05
Shaked, Nava A. ==> 1.51800892431e-05
Routledge, Bryan R. ==> 4.76469192577e-05
Li, Shuguang ==> 3.76520960072e-05
Uchiumi, Kei ==> 2.05219021473e-05
Iordanskaja, Lidija ==> 4.25651793716e-05
Zhang, Byoung-Tak ==> 7.03341955543e-05
He, Saike ==> 2.07538370677e-05
Quinn, Alex ==> 5.20163221484e-05
Qu, Weiruo ==> 3.07447882164e-05
Rabiner, Lawrence R. ==> 6.32481943813e-05
Pe&ntilde;as, Anselmo ==> 0.000117057034024
Ubaldino, Marc ==> 2.03730632187e-05
Yip, Kenneth Man-Kam ==> 1.7776330951e-05
Lin, Winston ==> 5.87402665698e-05
Shindo, Hiroyuki ==> 4.04022163085e-05
Smith, Ira ==> 5.73739657389e-05
Yaginuma, Yoshitomo ==> 1.80907394283e-05
Zhang, Peng ==> 5.0183712913e-05
Gondek, David ==> 6.23607669171e-05
Mima, Hideki ==> 3.92359505757e-05
Rennie, Steven ==> 3.11402382159e-05
Kim, George ==> 1.89509676071e-05
Hafdell, Love ==> 4.11303427517e-05
Danielsson, Pernilla ==> 2.19701559351e-05
Copeck, Terry ==> 1.9473851054e-05
Lunati, Jean-Michel ==> 2.07562058407e-05
Birke, Julia ==> 8.6145785754e-05
Twomey, David ==> 2.09126965306e-05
Knoll, Sonja ==> 1.76623402797e-05
Swerts, Marc ==> 0.000105174761825
Tsurumaru, Hiroaki ==> 4.21514273136e-05
DiMarco, Chrysanne ==> 4.37065340176e-05
Hruschka Junior, Estevam Rafael ==> 5.6589232285e-05
Haenelt, Karin ==> 4.20232403731e-05
Imai, Takeshi ==> 5.85570283413e-05
Fabri, Ray ==> 1.57228132467e-05
Piskorski, Jakub ==> 0.000109477235702
Hansen, John P. ==> 3.55487490994e-05
Gancedo, Maria C. ==> 1.45252638767e-05
Lin, Cindy Xide ==> 1.5242260345e-05
Buch-Kromann, Matthias ==> 5.33439113255e-05
Moraes, Silvia ==> 1.46790101754e-05
Gamage, Kumudu ==> 1.54317934934e-05
Moir&oacute;n, Bego&ntilde;a Villada ==> 7.62446893162e-05
Gledson, Ann ==> 2.76007198242e-05
Guthrie, Louise ==> 0.000310681081803
Martin, Joel ==> 0.000170895540938
Haase, Kenneth ==> 2.1058699797e-05
Li, Bo ==> 7.30116846037e-05
Naseem, Tahira ==> 0.000177511068019
Bulyko, Ivan ==> 3.39416735857e-05
Medero, Shawn ==> 1.36096309311e-05
Lee, Jonghoon ==> 5.25342154737e-05
Tarau, Paul ==> 0.000253992012606
Durrett, Greg ==> 1.79770905341e-05
Raman, S. ==> 1.99770572098e-05
Cavedon, Lawrence ==> 6.13599178112e-05
Blanchon, Herv&eacute; ==> 6.91823027584e-05
Mizuno, Junta ==> 4.26172298912e-05
Uchida, Hiroshi ==> 2.3484091188e-05
Young, Peter ==> 3.83168513758e-05
Schauer, Holger ==> 2.72009522906e-05
Unger, Christina ==> 1.40978901531e-05
Douglas, Benjamin ==> 2.75259672328e-05
Tamchyna, Ale&scaron; ==> 2.68711797604e-05
Mitchener, W. Garrett ==> 2.30841844988e-05
Miller, Bradford W. ==> 9.96952048742e-05
Temin, Aaron ==> 1.57428406917e-05
Ichioka, Kenichi ==> 3.38392501624e-05
Moore, Coleman ==> 3.38485577949e-05
Cordier, D. ==> 2.13165378024e-05
Seki, Kazuhiro ==> 3.54696407078e-05
Wang, Yi-Chia ==> 3.12251878825e-05
Chan, Hayward H. ==> 2.22171879235e-05
Tonelli, Sara ==> 0.000112163464304
El-Shishiny, Hisham ==> 1.58606243036e-05
Kongthon, Alisa ==> 3.57290282315e-05
Farley, Benoit ==> 2.18540425082e-05
Demetriou, George C. ==> 5.29541051878e-05
Zhang, Zhenzhong ==> 2.30046774139e-05
Vuorinen, Matti ==> 2.10504098347e-05
Gemello, Roberto ==> 1.37005321893e-05
Hyvonen, Eero ==> 1.90521788779e-05
Yosiyuki, Kobayasi ==> 4.12356459835e-05
Yasuda, Keiji ==> 6.1899671328e-05
Tily, Harry ==> 2.38086154009e-05
Kazama, Jun'ichi ==> 0.000604265344954
Chen, Harr ==> 0.00015453066328
Lee, Yoong Keok ==> 0.000202619450275
Magnuson, Tina ==> 2.63317334579e-05
Pianta, Emanuele ==> 0.000152283965514
Gweon, Gahgene ==> 1.82950892588e-05
Weston, Jason ==> 2.57663547851e-05
Inumella, Abhilash ==> 3.90547562772e-05
Umansky-Pesin, Shulamit ==> 4.91790937891e-05
Cox, Stephen ==> 1.3663890163e-05
Xiong, Hao ==> 4.9773063444e-05
Gaudinat, Arnaud ==> 2.3756425741e-05
Huang, Thomas ==> 2.38085034843e-05
